     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  KY        106     2.025306    0.391528  0.000017   0.000423   0.000271
  KZ          5     0.698970    0.135123  0.000001   0.000020   0.000016
  Kb      54675     4.737789    0.915899  0.008821   0.218046   0.060200

  LA      84782     4.928304    0.952728  0.013678   0.277109   0.084693
  LB       1063     3.026533    0.585083  0.000171   0.003474   0.002145
  LC        578     2.761928    0.533930  0.000093   0.001889   0.001248
  L›        588     2.769377    0.535370  0.000095   0.001922   0.001268
  LD      17288     4.237745    0.819231  0.002789   0.056506   0.023668
  LE      69300     4.840733    0.935799  0.011180   0.226506   0.072479
  LF        100     2.000000    0.386635  0.000016   0.000327   0.000257
  LG       2009     3.302980    0.638525  0.000324   0.006566   0.003757
  L!         38     1.579784    0.305400  0.000006   0.000124   0.000106
  LH        271     2.432969    0.470336  0.000044   0.000886   0.000633
  LI      25035     4.398548    0.850317  0.004039   0.081827   0.032116
  L$      32224     4.508180    0.871511  0.005199   0.105324   0.039445
  LJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  LK       4444     3.647774    0.705179  0.000717   0.014525   0.007489
  LL       8984     3.953470    0.764276  0.001449   0.029364   0.013668
  LM      15466     4.189378    0.809881  0.002495   0.050550   0.021574
  LN       1139     3.056524    0.590880  0.000184   0.003723   0.002280
  LO       1104     3.042969    0.588260  0.000178   0.003608   0.002218
  L#         35     1.544068    0.298496  0.000006   0.000114   0.000098
  LP        132     2.120574    0.409945  0.000021   0.000431   0.000330
  LR         64     1.806180    0.349167  0.000010   0.000209   0.000171
  LS       2485     3.395326    0.656377  0.000401   0.008122   0.004524
  L@         19     1.278754    0.247206  0.000003   0.000062   0.000056
  LT       4125     3.615424    0.698925  0.000665   0.013483   0.007023
  LU      13579     4.132868    0.798957  0.002191   0.044383   0.019353
  L"       6106     3.785757    0.731854  0.000985   0.019957   0.009838
  LV        439     2.642465    0.510835  0.000071   0.001435   0.000976
  LY        536     2.729165    0.527596  0.000086   0.001752   0.001167
  LZ         46     1.662758    0.321441  0.000007   0.000150   0.000126
  Lb      13973     4.145289    0.801358  0.002254   0.045671   0.019822

  MA      43760     4.641078    0.897202  0.007060   0.219618   0.050450
  MB        978     2.990339    0.578085  0.000158   0.004908   0.001993
  MC        503     2.701568    0.522261  0.000081   0.002524   0.001103
  M›         42     1.623249    0.313803  0.000007   0.000211   0.000116
  MD       5226     3.718169    0.718788  0.000843   0.026228   0.008610
  ME      33842     4.529456    0.875624  0.005460   0.169843   0.041040
  MF         14     1.146128    0.221567  0.000002   0.000070   0.000042
  MG         44     1.643453    0.317709  0.000007   0.000221   0.000121
  M!          5     0.698970    0.135123  0.000001   0.000025   0.000016
  MH         51     1.707570    0.330104  0.000008   0.000256   0.000139
  MI      19551     4.291169    0.829559  0.003154   0.098120   0.026206
  M$      24871     4.395693    0.849765  0.004012   0.124820   0.031944
  MJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  MK        474     2.675778    0.517275  0.000076   0.002379   0.001046
  ML       5079     3.705778    0.716393  0.000819   0.025490   0.008401
  MM        623     2.794488    0.540224  0.000101   0.003127   0.001335
  MN        255     2.406540    0.465227  0.000041   0.001280   0.000599
  MO        556     2.745075    0.530672  0.000090   0.002790   0.001206
  M#          3     0.477121    0.092236  0.000000   0.000015   0.000010
  MP        230     2.361728    0.456564  0.000037   0.001154   0.000546
  MR        614     2.788168    0.539002  0.000099   0.003081   0.001318
  MS       2576     3.410946    0.659396  0.000416   0.012928   0.004668
  M@        329     2.517196    0.486619  0.000053   0.001651   0.000754
  MT        157     2.195900    0.424506  0.000025   0.000788   0.000387
  MU      12884     4.110051    0.794546  0.002079   0.064661   0.018520
  M"       5478     3.738622    0.722742  0.000884   0.027492   0.008965
  MV         30     1.477121    0.285554  0.000005   0.000151   0.000085
  MY        140     2.146128    0.414885  0.000023   0.000703   0.000349
  MZ        278     2.444045    0.472477  0.000045   0.001395   0.000648
  Mb      40662     4.609189    0.891038  0.006560   0.204070   0.047573

  NA      28019     4.447453    0.859771  0.004520   0.072855   0.035210
  NB       1247     3.095866    0.598486  0.000201   0.003242   0.002470
  NC       9603     3.982407    0.769870  0.001549   0.024970   0.014461
  N›       2167     3.335859    0.644881  0.000350   0.005635   0.004014
  ND      43527     4.638759    0.896754  0.007022   0.113179   0.050235
  NE      32968     4.518093    0.873427  0.005319   0.085724   0.040181
  NF        121     2.082785    0.402639  0.000020   0.000315   0.000305
  NG       2412     3.382377    0.653873  0.000389   0.006272   0.004408
  N!         18     1.255273    0.242666  0.000003   0.000047   0.000053
  NH         54     1.732394    0.334902  0.000009   0.000140   0.000146
  NI      31296     4.495489    0.869058  0.005049   0.081376   0.038522
  N$      32260     4.508664    0.871605  0.005204   0.083883   0.039481
  NJ         13     1.113943    0.215345  0.000002   0.000034   0.000040
  NK       2667     3.426023    0.662311  0.000430   0.006935   0.004811
  NL      20713     4.316243    0.834406  0.003342   0.053858   0.027485
  NM       6944     3.841610    0.742651  0.001120   0.018056   0.010981
  NN       2487     3.395676    0.656444  0.000401   0.006467   0.004527
  NO        654     2.815578    0.544301  0.000106   0.001701   0.001394
  N#        153     2.184691    0.422340  0.000025   0.000398   0.000378
  NP         49     1.690196    0.326745  0.000008   0.000127   0.000134
  NR       4803     3.681513    0.711702  0.000775   0.012489   0.008007
  NS       3966     3.598353    0.695625  0.000640   0.010312   0.006789
  N@        157     2.195900    0.424506  0.000025   0.000408   0.000387
  NT       2369     3.374565    0.652363  0.000382   0.006160   0.004339
  NU      15586     4.192735    0.810530  0.002514   0.040527   0.021714
  N"       6258     3.796436    0.733918  0.001010   0.016272   0.010047
  NV         20     1.301030    0.251512  0.000003   0.000052   0.000059
  NY       1083     3.034628    0.586647  0.000175   0.002816   0.002181
  NZ        810     2.908485    0.562262  0.000131   0.002106   0.001686
  Nb      132161     5.121103    0.990000  0.021321   0.343646   0.118366

  OA          6     0.778151    0.150430  0.000001   0.000046   0.000019
  OB        676     2.829947    0.547079  0.000109   0.005183   0.001435
  OC       7274     3.861773    0.746549  0.001173   0.055771   0.011424
  O›        147     2.167317    0.418981  0.000024   0.001127   0.000364
  OD       1818     3.259594    0.630137  0.000293   0.013939   0.003442
  OE         18     1.255273    0.242666  0.000003   0.000138   0.000053
  OF        685     2.835690    0.548189  0.000111   0.005252   0.001452
  OG         91     1.959041    0.378717  0.000015   0.000698   0.000236
  O!       6031     3.780389    0.730816  0.000973   0.046240   0.009735
  OH        296     2.471292    0.477744  0.000048   0.002269   0.000685
  OI          3     0.477121    0.092236  0.000000   0.000023   0.000010
  O$         17     1.230449    0.237868  0.000003   0.000130   0.000051
  OJ         96     1.982271    0.383208  0.000015   0.000736   0.000247
  OK      11874     4.074597    0.787692  0.001916   0.091039   0.017294
  OL      24818     4.394767    0.849586  0.004004   0.190283   0.031888
  OM       1754     3.244030    0.627128  0.000283   0.013448   0.003335
  ON      18725     4.272422    0.825935  0.003021   0.143567   0.025287
  OO          1     0.000000    0.000000  0.000000   0.000008   0.000004
  O#          0     0.000000    0.000000  0.000000   0.000000   0.000000
  OP       2855     3.455606    0.668030  0.000461   0.021890   0.005105
  OR      34608     4.539176    0.877503  0.005583   0.265344   0.041789
  OS       1665     3.221414    0.622756  0.000269   0.012766   0.003186
  O@       2677     3.427648    0.662625  0.000432   0.020525   0.004827
  OT       2469     3.392521    0.655834  0.000398   0.018930   0.004499
  OU         17     1.230449    0.237868  0.000003   0.000130   0.000051
  O"          1     0.000000    0.000000  0.000000   0.000008   0.000004
  OV        498     2.697229    0.521422  0.000080   0.003818   0.001093
  OY       4533     3.656386    0.706844  0.000731   0.034755   0.007618
  OZ       1111     3.045714    0.588790  0.000179   0.008518   0.002231
  Ob       5663     3.753047    0.725530  0.000914   0.043419   0.009224

  #A          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #B        508     2.705864    0.523091  0.000082   0.010959   0.001113
  #C         58     1.763428    0.340902  0.000009   0.001251   0.000156
  #›        141     2.149219    0.415482  0.000023   0.003042   0.000351
  #D        298     2.474216    0.478310  0.000048   0.006429   0.000690
  #E          2     0.301030    0.058194  0.000000   0.000043   0.000007
  #F        338     2.528917    0.488884  0.000055   0.007291   0.000772
  #G         20     1.301030    0.251512  0.000003   0.000431   0.000059
  #!       2508     3.399328    0.657150  0.000405   0.054103   0.004560
  #H         33     1.518514    0.293556  0.000005   0.000712   0.000093
  #I          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #$          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #J          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #K       1227     3.088845    0.597128  0.000198   0.026469   0.002435
  #L       2842     3.453624    0.667647  0.000458   0.061308   0.005085
  #M        673     2.828015    0.546705  0.000109   0.014518   0.001430
  #N       7015     3.846028    0.743505  0.001132   0.151329   0.011076
  #O          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ##          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #P        925     2.966142    0.573408  0.000149   0.019954   0.001897
  #R       8781     3.943544    0.762357  0.001417   0.189425   0.013406
  #S       1403     3.147058    0.608382  0.000226   0.030266   0.002741
  #@        585     2.767156    0.534940  0.000094   0.012620   0.001262
  #T       1907     3.280351    0.634150  0.000308   0.041138   0.003589
  #U          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #"          0     0.000000    0.000000  0.000000   0.000000   0.000000
  #V        701     2.845718    0.550128  0.000113   0.015122   0.001483
  #Y       9090     3.958564    0.765261  0.001466   0.196091   0.013804
  #Z       7301     3.863382    0.746860  0.001178   0.157498   0.011460
  #b          0     0.000000    0.000000  0.000000   0.000000   0.000000

  PA       8826     3.945764    0.762786  0.001424   0.210113   0.013464
  PB          4     0.602060    0.116389  0.000001   0.000095   0.000013
  PC         10     1.000000    0.193318  0.000002   0.000238   0.000031
  P›        128     2.107210    0.407361  0.000021   0.003047   0.000321
  PD         41     1.612784    0.311780  0.000007   0.000976   0.000114
  PE       4620     3.664642    0.708440  0.000745   0.109984   0.007744
  PF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  PG          2     0.301030    0.058194  0.000000   0.000048   0.000007
  P!          1     0.000000    0.000000  0.000000   0.000024   0.000004
  PH        378     2.577492    0.498275  0.000061   0.008999   0.000854
  PI       3710     3.569374    0.690023  0.000599   0.088321   0.006408
  P$       1346     3.129045    0.604900  0.000217   0.032043   0.002642
  PJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  PK        443     2.646404    0.511597  0.000071   0.010546   0.000984
  PL       3161     3.499825    0.676578  0.000510   0.075251   0.005578
  PM       1049     3.020776    0.583969  0.000169   0.024973   0.002120
  PN         33     1.518514    0.293556  0.000005   0.000786   0.000093
  PO        861     2.935003    0.567388  0.000139   0.020497   0.001780
  P#         15     1.176091    0.227359  0.000002   0.000357   0.000045
  PP         24     1.380211    0.266819  0.000004   0.000571   0.000070
  PR       1807     3.256958    0.629628  0.000292   0.043018   0.003424
  PS       1075     3.031409    0.586025  0.000173   0.025592   0.002167
  P@          6     0.778151    0.150430  0.000001   0.000143   0.000019
  PT       1815     3.258877    0.629999  0.000293   0.043208   0.003437
  PU        634     2.802089    0.541694  0.000102   0.015093   0.001356
  P"        374     2.572872    0.497382  0.000060   0.008903   0.000846
  PV          1     0.000000    0.000000  0.000000   0.000024   0.000004
  PY         57     1.755875    0.339442  0.000009   0.001357   0.000154
  PZ          3     0.477121    0.092236  0.000000   0.000071   0.000010
  Pb      11582     4.063784    0.785601  0.001868   0.275723   0.016936

  RA      42803     4.631474    0.895346  0.006905   0.115749   0.049567
  RB       1712     3.233504    0.625094  0.000276   0.004630   0.003265
  RC       1944     3.288696    0.635763  0.000314   0.005257   0.003650
  R›       1855     3.268344    0.631829  0.000299   0.005016   0.003503
  RD      35669     4.552291    0.880038  0.005754   0.096457   0.042819
  RE      24306     4.385714    0.847836  0.003921   0.065729   0.031348
  RF        278     2.444045    0.472477  0.000045   0.000752   0.000648
  RG       2038     3.309204    0.639728  0.000329   0.005511   0.003804
  R!         15     1.176091    0.227359  0.000002   0.000041   0.000045
  RH        882     2.945469    0.569411  0.000142   0.002385   0.001818
  RI      31710     4.501196    0.870161  0.005116   0.085751   0.038935
  R$      36895     4.566967    0.882876  0.005952   0.099772   0.044001
  RJ         33     1.518514    0.293556  0.000005   0.000089   0.000093
  RK      10283     4.012120    0.775614  0.001659   0.027807   0.015321
  RL      16761     4.224300    0.816632  0.002704   0.045325   0.023067
  RM      13863     4.141857    0.800694  0.002236   0.037489   0.019691
  RN       1034     3.014521    0.582760  0.000167   0.002796   0.002093
  RO       1328     3.123198    0.603770  0.000214   0.003591   0.002611
  R#         28     1.447158    0.279761  0.000005   0.000076   0.000080
  RP       1238     3.092721    0.597878  0.000200   0.003348   0.002455
  RR        342     2.534026    0.489872  0.000055   0.000925   0.000780
  RS       7904     3.897847    0.753523  0.001275   0.021374   0.012261
  R@       3360     3.526339    0.681704  0.000542   0.009086   0.005881
  RT       9051     3.956697    0.764900  0.001460   0.024476   0.013754
  RU      14590     4.164055    0.804986  0.002354   0.039455   0.020550
  R"       6883     3.837778    0.741910  0.001110   0.018613   0.010898
  RV        369     2.567026    0.496252  0.000060   0.000998   0.000836
  RY        377     2.576341    0.498052  0.000061   0.001019   0.000852
  RZ        440     2.643453    0.511026  0.000071   0.001190   0.000978
  Rb      101802     5.007756    0.968088  0.016423   0.275295   0.097360

  SA      26035     4.415557    0.853606  0.004200   0.165900   0.033162
  SB        298     2.474216    0.478310  0.000048   0.001899   0.000690
  SC         55     1.740363    0.336443  0.000009   0.000350   0.000149
  S›         42     1.623249    0.313803  0.000007   0.000268   0.000116
  SD         50     1.698970    0.328441  0.000008   0.000319   0.000136
  SE      23053     4.362728    0.843392  0.003719   0.146898   0.030016
  SF         40     1.602060    0.309707  0.000006   0.000255   0.000111
  SG         23     1.361728    0.263246  0.000004   0.000147   0.000067
  S!          1     0.000000    0.000000  0.000000   0.000006   0.000004
  SH         58     1.763428    0.340902  0.000009   0.000370   0.000156
  SI      24900     4.396199    0.849863  0.004017   0.158667   0.031974
  S$      23251     4.366442    0.844111  0.003751   0.148160   0.030228
  SJ          1     0.000000    0.000000  0.000000   0.000006   0.000004
  SK       2792     3.445915    0.666157  0.000450   0.017791   0.005007
  SL       3257     3.512818    0.679090  0.000525   0.020754   0.005724
  SM       1652     3.218010    0.622098  0.000267   0.010527   0.003164
  SN        278     2.444045    0.472477  0.000045   0.001771   0.000648
  SO      11461     4.059223    0.784720  0.001849   0.073032   0.016787
  S#       5552     3.744449    0.723868  0.000896   0.035378   0.009069
  SP        255     2.406540    0.465227  0.000041   0.001625   0.000599
  SR        342     2.534026    0.489872  0.000055   0.002179   0.000780
  SS       1161     3.064832    0.592486  0.000187   0.007398   0.002319
  S@          1     0.000000    0.000000  0.000000   0.000006   0.000004
  ST      13649     4.135101    0.799388  0.002202   0.086974   0.019437
  SU      10033     4.001431    0.773547  0.001619   0.063932   0.015006
  S"       4687     3.670895    0.709649  0.000756   0.029866   0.007840
  SV        167     2.222717    0.429690  0.000027   0.001064   0.000409
  SY        575     2.759668    0.533493  0.000093   0.003664   0.001243
  SZ          5     0.698970    0.135123  0.000001   0.000032   0.000016
  Sb       3258     3.512951    0.679116  0.000526   0.020761   0.005726

  @A      10643     4.027064    0.778503  0.001717   0.103124   0.015772
  @B        157     2.195900    0.424506  0.000025   0.001521   0.000387
  @C         35     1.544068    0.298496  0.000006   0.000339   0.000098
  @›        310     2.491362    0.481624  0.000050   0.003004   0.000715
  @D         41     1.612784    0.311780  0.000007   0.000397   0.000114
  @E       8310     3.919601    0.757728  0.001341   0.080519   0.012793
  @F         50     1.698970    0.328441  0.000008   0.000484   0.000136
  @G        187     2.271842    0.439187  0.000030   0.001812   0.000453
  @!          0     0.000000    0.000000  0.000000   0.000000   0.000000
  @H        106     2.025306    0.391528  0.000017   0.001027   0.000271
  @I      11920     4.076276    0.788016  0.001923   0.115497   0.017350
  @$       8471     3.927935    0.759339  0.001367   0.082079   0.013004
  @J          0     0.000000    0.000000  0.000000   0.000000   0.000000
  @K       4125     3.615424    0.698925  0.000665   0.039969   0.007023
  @L      10133     4.005738    0.774380  0.001635   0.098182   0.015132
  @M       5286     3.723127    0.719746  0.000853   0.051218   0.008695
  @N         65     1.812913    0.350468  0.000010   0.000630   0.000173
  @O        172     2.235528    0.432167  0.000028   0.001667   0.000420
  @#        497     2.696356    0.521253  0.000080   0.004816   0.001091
  @P         31     1.491362    0.288307  0.000005   0.000300   0.000088
  @R        186     2.269513    0.438737  0.000030   0.001802   0.000451
  @S        612     2.786752    0.538728  0.000099   0.005930   0.001314
  @@         65     1.812913    0.350468  0.000010   0.000630   0.000173
  @T      14104     4.149343    0.802141  0.002275   0.136659   0.019977
  @U       3554     3.550717    0.686417  0.000573   0.034436   0.006174
  @"       3352     3.525304    0.681504  0.000541   0.032479   0.005869
  @V        157     2.195900    0.424506  0.000025   0.001521   0.000387
  @Y        243     2.385606    0.461180  0.000039   0.002355   0.000574
  @Z          0     0.000000    0.000000  0.000000   0.000000   0.000000
  @b      20394     4.309503    0.833103  0.003290   0.197605   0.027136

  TA      28352     4.452584    0.860763  0.004574   0.172209   0.035550
  TB        161     2.206826    0.426619  0.000026   0.000978   0.000396
  TC         46     1.662758    0.321441  0.000007   0.000279   0.000126
  T›        518     2.714330    0.524728  0.000084   0.003146   0.001132
  TD         29     1.462398    0.282707  0.000005   0.000176   0.000083
  TE      23321     4.367747    0.844363  0.003762   0.141651   0.030302
  TF        180     2.255272    0.435984  0.000029   0.001093   0.000438
  TG         65     1.812913    0.350468  0.000010   0.000395   0.000173
  T!          5     0.698970    0.135123  0.000001   0.000030   0.000016
  TH        220     2.342423    0.452832  0.000035   0.001336   0.000525
  TI      23622     4.373317    0.845440  0.003811   0.143479   0.030623
  T$      22100     4.344392    0.839848  0.003565   0.134235   0.028992
  TJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  TK        690     2.838849    0.548800  0.000111   0.004191   0.001462
  TL       7663     3.884399    0.750923  0.001236   0.046545   0.011942
  TM       7011     3.845780    0.743457  0.001131   0.042585   0.011071
  TN         42     1.623249    0.313803  0.000007   0.000255   0.000116
  TO       4450     3.648360    0.705293  0.000718   0.027029   0.007498
  T#        356     2.551450    0.493240  0.000057   0.002162   0.000809
  TP         31     1.491362    0.288307  0.000005   0.000188   0.000088
  TR       1623     3.210319    0.620611  0.000262   0.009858   0.003116
  TS        993     2.996949    0.579363  0.000160   0.006031   0.002020
  T@          6     0.778151    0.150430  0.000001   0.000036   0.000019
  TT       7440     3.871573    0.748444  0.001200   0.045190   0.011646
  TU      10612     4.025797    0.778258  0.001712   0.064457   0.015734
  T"      10520     4.022016    0.777527  0.001697   0.063898   0.015618
  TV         56     1.748188    0.337956  0.000009   0.000340   0.000151
  TY         76     1.880814    0.363595  0.000012   0.000462   0.000200
  TZ          2     0.301030    0.058194  0.000000   0.000012   0.000007
  Tb      14447     4.159778    0.804159  0.002331   0.087751   0.020382

  UA        506     2.704150    0.522760  0.000082   0.002771   0.001109
  UB        632     2.800717    0.541428  0.000102   0.003461   0.001352
  UC       1359     3.133219    0.605707  0.000219   0.007443   0.002665
  U›       1507     3.178113    0.614386  0.000243   0.008253   0.002919
  UD       1950     3.290035    0.636022  0.000315   0.010680   0.003660
  UE         17     1.230449    0.237868  0.000003   0.000093   0.000051
  UF        357     2.552668    0.493476  0.000058   0.001955   0.000811
  UG        476     2.677607    0.517629  0.000077   0.002607   0.001050
  U!       7054     3.848435    0.743971  0.001138   0.038633   0.011129
  UH       1476     3.169086    0.612641  0.000238   0.008084   0.002866
  UI          0     0.000000    0.000000  0.000000   0.000000   0.000000
  U$         24     1.380211    0.266819  0.000004   0.000131   0.000070
  UJ         14     1.146128    0.221567  0.000002   0.000077   0.000042
  UK       8641     3.936564    0.761008  0.001394   0.047324   0.013225
  UL      13384     4.126586    0.797742  0.002159   0.073300   0.019120
  UM      12608     4.100646    0.792728  0.002034   0.069050   0.018187
  UN      27690     4.442323    0.858780  0.004467   0.151650   0.034873
  UO         33     1.518514    0.293556  0.000005   0.000181   0.000093
  U#          1     0.000000    0.000000  0.000000   0.000005   0.000004
  UP       1882     3.274620    0.633042  0.000304   0.010307   0.003548
  UR      20044     4.301984    0.831650  0.003234   0.109775   0.026751
  US       5503     3.740599    0.723124  0.000888   0.030138   0.009000
  U@       8234     3.915611    0.756957  0.001328   0.045095   0.012694
  UT       5418     3.733839    0.721817  0.000874   0.029673   0.008881
  UU         46     1.662758    0.321441  0.000007   0.000252   0.000126
  U"          0     0.000000    0.000000  0.000000   0.000000   0.000000
  UV       1749     3.242790    0.626889  0.000282   0.009579   0.003327
  UY      10651     4.027390    0.778566  0.001718   0.058333   0.015782
  UZ       7237     3.859559    0.746121  0.001168   0.039635   0.011374
  Ub      44098     4.644419    0.897848  0.007114   0.241512   0.050761

  "A          8     0.903090    0.174583  0.000001   0.000076   0.000025
  "B        265     2.423246    0.468456  0.000043   0.002507   0.000620
  "C       1223     3.087426    0.596854  0.000197   0.011571   0.002428
  "›       3285     3.516535    0.679809  0.000530   0.031079   0.005767
  "D        983     2.992553    0.578514  0.000159   0.009300   0.002002
  "E         77     1.886491    0.364692  0.000012   0.000728   0.000202
  "F        646     2.810232    0.543268  0.000104   0.006112   0.001379
  "G         29     1.462398    0.282707  0.000005   0.000274   0.000083
  "!       1708     3.232488    0.624897  0.000276   0.016159   0.003258
  "H        319     2.503791    0.484027  0.000051   0.003018   0.000733
  "I          0     0.000000    0.000000  0.000000   0.000000   0.000000
  "$          3     0.477121    0.092236  0.000000   0.000028   0.000010
  "J         57     1.755875    0.339442  0.000009   0.000539   0.000154
  "K       7688     3.885813    0.751197  0.001240   0.072736   0.011975
  "L       6951     3.842047    0.742736  0.001121   0.065763   0.010990
  "M       5559     3.744997    0.723974  0.000897   0.052594   0.009078
  "N      22402     4.350287    0.840988  0.003614   0.211945   0.029318
  "O          5     0.698970    0.135123  0.000001   0.000047   0.000016
  "#          1     0.000000    0.000000  0.000000   0.000009   0.000004
  "P       1258     3.099681    0.599223  0.000203   0.011902   0.002490
  "R      11030     4.042575    0.781501  0.001779   0.104355   0.016254
  "S       4387     3.642168    0.704096  0.000708   0.041505   0.007406
  "@       7405     3.869525    0.748048  0.001195   0.070059   0.011599
  "T       3374     3.528145    0.682053  0.000544   0.031921   0.005902
  "U          1     0.000000    0.000000  0.000000   0.000009   0.000004
  ""          3     0.477121    0.092236  0.000000   0.000028   0.000010
  "V        824     2.915927    0.563700  0.000133   0.007796   0.001712
  "Y       6266     3.796990    0.734026  0.001011   0.059283   0.010058
  "Z       8708     3.939919    0.761656  0.001405   0.082386   0.013311
  "b      11232     4.050457    0.783025  0.001812   0.106266   0.016504

  VA      13457     4.128948    0.798199  0.002171   0.258326   0.019208
  VB         30     1.477121    0.285554  0.000005   0.000576   0.000085
  VC        177     2.247973    0.434573  0.000029   0.003398   0.000431
  V›          0     0.000000    0.000000  0.000000   0.000000   0.000000
  VD       1045     3.019116    0.583649  0.000169   0.020060   0.002113
  VE      20681     4.315571    0.834276  0.003336   0.397002   0.027450
  VF         44     1.643453    0.317709  0.000007   0.000845   0.000121
  VG        937     2.971740    0.574490  0.000151   0.017987   0.001919
  V!          2     0.301030    0.058194  0.000000   0.000038   0.000007
  VH        145     2.161368    0.417831  0.000023   0.002783   0.000360
  VI        356     2.551450    0.493240  0.000057   0.006834   0.000809
  V$       4383     3.641772    0.704019  0.000707   0.084138   0.007400
  VJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  VK        304     2.482874    0.479983  0.000049   0.005836   0.000702
  VL       1929     3.285332    0.635113  0.000311   0.037030   0.003625
  VM        407     2.609594    0.504481  0.000066   0.007813   0.000912
  VN         37     1.568202    0.303161  0.000006   0.000710   0.000104
  VO         70     1.845098    0.356690  0.000011   0.001344   0.000186
  V#          1     0.000000    0.000000  0.000000   0.000019   0.000004
  VP          1     0.000000    0.000000  0.000000   0.000019   0.000004
  VR       2827     3.451326    0.667202  0.000456   0.054268   0.005062
  VS        156     2.193125    0.423970  0.000025   0.002995   0.000385
  V@        124     2.093422    0.404696  0.000020   0.002380   0.000312
  VT          1     0.000000    0.000000  0.000000   0.000019   0.000004
  VU       2645     3.422426    0.661615  0.000427   0.050775   0.004777
  V"        517     2.713490    0.524566  0.000083   0.009925   0.001130
  VV        962     2.983175    0.576701  0.000155   0.018467   0.001964
  VY         58     1.763428    0.340902  0.000009   0.001113   0.000156
  VZ         74     1.869232    0.361356  0.000012   0.001421   0.000195
  Vb        723     2.859138    0.552722  0.000117   0.013879   0.001524

  YA      47954     4.680825    0.904886  0.007736   0.267647   0.054263
  YB        468     2.670246    0.516206  0.000076   0.002612   0.001034
  YC        174     2.240549    0.433138  0.000028   0.000971   0.000424
  Y›          2     0.301030    0.058194  0.000000   0.000011   0.000007
  YD       6496     3.812646    0.737052  0.001048   0.036256   0.010373
  YE      25073     4.399206    0.850444  0.004045   0.139941   0.032156
  YF        169     2.227887    0.430690  0.000027   0.000943   0.000413
  YG       1392     3.143639    0.607721  0.000225   0.007769   0.002722
  Y!         13     1.113943    0.215345  0.000002   0.000073   0.000040
  YH        210     2.322219    0.448926  0.000034   0.001172   0.000503
  YI      10989     4.040958    0.781189  0.001773   0.061333   0.016203
  Y$      10306     4.013090    0.775801  0.001663   0.057521   0.015350
  YJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  YK        784     2.894316    0.559523  0.000126   0.004376   0.001638
  YL      14690     4.167022    0.805559  0.002370   0.081990   0.020668
  YM       1635     3.213518    0.621230  0.000264   0.009125   0.003136
  YN       2096     3.321391    0.642084  0.000338   0.011698   0.003899
  YO      30938     4.490492    0.868092  0.004991   0.172675   0.038164
  Y#        721     2.857935    0.552490  0.000116   0.004024   0.001520
  YP         17     1.230449    0.237868  0.000003   0.000095   0.000051
  YR       2539     3.404663    0.658182  0.000410   0.014171   0.004610
  YS       1044     3.018701    0.583568  0.000168   0.005827   0.002111
  Y@        150     2.176091    0.420677  0.000024   0.000837   0.000371
  YT        214     2.330414    0.450510  0.000035   0.001194   0.000512
  YU       6206     3.792812    0.733218  0.001001   0.034638   0.009976
  Y"       8671     3.938069    0.761299  0.001399   0.048396   0.013263
  YV        431     2.634477    0.509291  0.000070   0.002406   0.000960
  YY        289     2.460898    0.475735  0.000047   0.001613   0.000671
  YZ        204     2.309630    0.446492  0.000033   0.001139   0.000490
  Yb       5294     3.723784    0.719873  0.000854   0.029548   0.008706

  ZA      10552     4.023335    0.777782  0.001702   0.131908   0.015658
  ZB        180     2.255272    0.435984  0.000029   0.002250   0.000438
  ZC        500     2.698970    0.521759  0.000081   0.006250   0.001097
  Z›          5     0.698970    0.135123  0.000001   0.000063   0.000016
  ZD       3688     3.566791    0.689524  0.000595   0.046103   0.006375
  ZE       9221     3.964778    0.766462  0.001488   0.115270   0.013973
  ZF          3     0.477121    0.092236  0.000000   0.000038   0.000010
  ZG       1074     3.031004    0.585947  0.000173   0.013426   0.002165
  Z!          8     0.903090    0.174583  0.000001   0.000100   0.000025
  ZH        163     2.212188    0.427655  0.000026   0.002038   0.000400
  ZI       6293     3.798858    0.734387  0.001015   0.078667   0.010095
  Z$       5645     3.751664    0.725263  0.000911   0.070567   0.009199
  ZJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ZK        114     2.056905    0.397636  0.000018   0.001425   0.000289
  ZL       8422     3.925415    0.758852  0.001359   0.105282   0.012940
