     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  ›G         50     1.698970    0.328441  0.000008   0.000747   0.000136
  ›!          1     0.000000    0.000000  0.000000   0.000015   0.000004
  ›H         30     1.477121    0.285554  0.000005   0.000448   0.000085
  ›I       7914     3.898396    0.753629  0.001277   0.118213   0.012274
  ›$      12313     4.090364    0.790740  0.001986   0.183922   0.017829
  ›J          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ›K        255     2.406540    0.465227  0.000041   0.003809   0.000599
  ›L       2316     3.364738    0.650464  0.000374   0.034595   0.004254
  ›M       1589     3.201124    0.618834  0.000256   0.023735   0.003058
  ›N          6     0.778151    0.150430  0.000001   0.000090   0.000019
  ›O      10020     4.000868    0.773439  0.001617   0.149671   0.014990
  ›#        748     2.873902    0.555576  0.000121   0.011173   0.001571
  ›P          5     0.698970    0.135123  0.000001   0.000075   0.000016
  ›R        193     2.285557    0.441839  0.000031   0.002883   0.000466
  ›S        214     2.330414    0.450510  0.000035   0.003197   0.000512
  ›@          1     0.000000    0.000000  0.000000   0.000015   0.000004
  ›T       1633     3.212986    0.621127  0.000263   0.024392   0.003132
  ›U        901     2.954725    0.571201  0.000145   0.013458   0.001853
  ›"       3014     3.479143    0.672580  0.000486   0.045021   0.005352
  ›V          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ›Y         22     1.342423    0.259514  0.000004   0.000329   0.000064
  ›Z          0     0.000000    0.000000  0.000000   0.000000   0.000000
  ›b       7178     3.856004    0.745434  0.001158   0.107219   0.011295

  DA      57747     4.761529    0.920488  0.009316   0.222967   0.062847
  DB         81     1.908485    0.368944  0.000013   0.000313   0.000212
  DC          5     0.698970    0.135123  0.000001   0.000019   0.000016
  D›          2     0.301030    0.058194  0.000000   0.000008   0.000007
  DD        886     2.947434    0.569791  0.000143   0.003421   0.001826
  DE      66346     4.821815    0.932142  0.010703   0.256168   0.070062
  DF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  DG          5     0.698970    0.135123  0.000001   0.000019   0.000016
  D!         10     1.000000    0.193318  0.000002   0.000039   0.000031
  DH         21     1.322219    0.255608  0.000003   0.000081   0.000062
  DI      31611     4.499838    0.869898  0.005100   0.122053   0.038836
  D$      51053     4.708021    0.910144  0.008236   0.197120   0.057026
  DJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  DK          7     0.845098    0.163372  0.000001   0.000027   0.000022
  DL        231     2.363612    0.456928  0.000037   0.000892   0.000548
  DM         24     1.380211    0.266819  0.000004   0.000093   0.000070
  DN         11     1.041393    0.201320  0.000002   0.000042   0.000034
  DO       7020     3.846337    0.743565  0.001133   0.027105   0.011083
  D#       3811     3.581039    0.692278  0.000615   0.014715   0.006559
  DP          2     0.301030    0.058194  0.000000   0.000008   0.000007
  DR        391     2.592177    0.501114  0.000063   0.001510   0.000880
  DS         38     1.579784    0.305400  0.000006   0.000147   0.000106
  D@          0     0.000000    0.000000  0.000000   0.000000   0.000000
  DT          1     0.000000    0.000000  0.000000   0.000004   0.000004
  DU      26302     4.419989    0.854462  0.004243   0.101554   0.033439
  D"      12662     4.102502    0.793086  0.002043   0.048889   0.018252
  DV          1     0.000000    0.000000  0.000000   0.000004   0.000004
  DY        111     2.045323    0.395397  0.000018   0.000429   0.000282
  DZ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  Db        615     2.788875    0.539139  0.000099   0.002375   0.001319

  EA        174     2.240549    0.433138  0.000028   0.000363   0.000424
  EB       3087     3.489537    0.674589  0.000498   0.006441   0.005464
  EC       8909     3.949829    0.763572  0.001437   0.018589   0.013571
  E›       4280     3.631444    0.702022  0.000690   0.008930   0.007250
  ED      22022     4.342857    0.839551  0.003553   0.045950   0.028908
  EE         44     1.643453    0.317709  0.000007   0.000092   0.000121
  EF       3644     3.561578    0.688516  0.000588   0.007603   0.006309
  EG        308     2.488551    0.481081  0.000050   0.000643   0.000710
  E!      10406     4.017284    0.776612  0.001679   0.021713   0.015476
  EH       2653     3.423737    0.661869  0.000428   0.005536   0.004789
  EI          1     0.000000    0.000000  0.000000   0.000002   0.000004
  E$        113     2.053078    0.396896  0.000018   0.000236   0.000287
  EJ        107     2.029384    0.392316  0.000017   0.000223   0.000273
  EK      30417     4.483116    0.866666  0.004907   0.063466   0.037642
  EL      31025     4.491712    0.868327  0.005005   0.064735   0.038251
  EM      20884     4.319814    0.835097  0.003369   0.043575   0.027672
  EN      66849     4.825095    0.932776  0.010785   0.139483   0.070476
  EO         76     1.880814    0.363595  0.000012   0.000159   0.000200
  E#          5     0.698970    0.135123  0.000001   0.000010   0.000016
  EP       3359     3.526210    0.681679  0.000542   0.007009   0.005879
  ER      81595     4.911664    0.949512  0.013164   0.170251   0.082237
  ES      17102     4.233047    0.818323  0.002759   0.035684   0.023456
  E@       6912     3.839604    0.742263  0.001115   0.014422   0.010938
  ET      20915     4.320458    0.835221  0.003374   0.043640   0.027706
  EU         15     1.176091    0.227359  0.000002   0.000031   0.000045
  E"          5     0.698970    0.135123  0.000001   0.000010   0.000016
  EV      12068     4.081635    0.789052  0.001947   0.025180   0.017531
  EY      20556     4.312939    0.833767  0.003316   0.042891   0.027313
  EZ       5104     3.707911    0.716805  0.000823   0.010650   0.008437
  Eb      106628     5.027871    0.971977  0.017202   0.222483   0.100826

  FA       6596     3.819281    0.738335  0.001064   0.284225   0.010509
  FB          1     0.000000    0.000000  0.000000   0.000043   0.000004
  FC         10     1.000000    0.193318  0.000002   0.000431   0.000031
